ModelID,ScenarioID,Temperature,Year,Total electricity generation,Coal capacity,Gas capacity,Oil capacity,Solar capacity,Wind capacity,Nuclear capacity,Hydro capacity,Biomass capacity,Electricity trade,Storage capacity,Carbon sequestration,Afforestation,GDP,Population,Water consumption,Investments in EST,Investments in ETD,Coal power,Gas power,Oil power,Solar power,Wind power,Nuclear power,Hydropower,Biomass power
20,172,3,2050,71.9944,1230.2968,76.6445,14.6575,2887.2015,2191.9891,177.8316,500.2854,37.6688,-0.3299,759.7134,6061.6748,436.1462,75019.5324,1283.792,38.8772,8.1274,347.4928,17.7,1.5098,0.2506,17.0797,22.2226,3.3172,6.3006,1.7797
20,177,3,2050,69.3967,1302.2181,80.3911,16.6658,2613.6786,1961.8781,160.5405,500.2854,29.206,-0.3255,659.0684,6418.4202,419.3162,75270.3431,1283.792,39.9515,7.4787,332.8368,19.3395,1.5836,0.285,15.4863,20.0458,3.0913,6.3006,1.7095
20,178,3,2050,68.3223,1274.9138,80.7838,17.0749,2566.1591,1926.2764,157.8079,500.2854,24.4557,-0.323,646.3533,6167.8961,406.2956,75451.1043,1283.792,39.5154,7.4471,329.6751,18.9474,1.5913,0.292,15.2095,19.709,3.0408,6.3006,1.7076
20,184,3,2050,74.3863,958.7644,71.1316,12.477,3360.976,2622.104,208.3344,500.2854,46.2674,-0.3344,964.6577,3728.2426,368.8128,74684.8879,1283.792,34.6836,6.7647,311.849,12.8413,1.4012,0.2119,19.8396,25.8754,3.6179,6.3006,1.8607
20,192,3,2050,75.5812,1128.2801,73.4477,12.956,3248.6533,2499.4513,200.4092,500.2854,46.2507,-0.3382,897.7782,5450.6203,453.2935,74633.5397,1283.792,37.3531,11.4009,393.3031,15.5444,1.4468,0.219,19.1853,25.1311,3.5895,6.3006,1.9396
20,193,4,2050,69.5274,1128.3293,77.7762,15.3163,2823.465,2151.4244,174.6114,500.2854,24.1385,-0.3234,750.8297,4307.5988,359.0633,75373.7164,1283.792,36.7871,6.9774,311.2941,16.0935,1.5321,0.2619,16.7084,21.8389,3.2291,6.3006,1.7406
20,195,3,2050,70.4387,1301.9406,79.9111,16.0735,2690.4396,2023.817,165.2256,500.2854,35.0233,-0.3276,684.5903,6505.4759,429.8711,75124.7935,1283.792,40.0062,7.5711,336.1774,19.2115,1.5741,0.2749,15.9334,20.6317,3.1611,6.3006,1.7279
20,197,4,2050,73.4348,1004.452,73.0826,13.0625,3242.0697,2514.4281,200.8062,500.2854,40.3911,-0.3324,914.7794,3877.2237,367.5322,74804.0295,1283.792,35.2152,6.6875,304.6808,13.6491,1.4396,0.2234,19.1469,25.0216,3.5379,6.3006,1.8246
20,205,3,2050,68.7125,1293.7867,80.1883,16.8564,2573.7267,1930.7042,158.1648,500.2854,25.8342,-0.3231,646.8592,6310.6229,410.1948,75418.4195,1283.792,39.789,7.4416,331.3099,19.2579,1.5796,0.2882,15.2535,19.7509,3.0525,6.3006,1.7057
20,213,4,2050,66.9591,1256.4973,82.1347,17.8607,2484.7514,1862.3948,152.9084,500.2854,19.9651,-0.3193,621.3011,5800.9312,399.1576,75757.9269,1283.792,39.1365,6.9826,314.2058,18.7677,1.6179,0.3054,14.7352,19.1048,2.9612,6.3006,1.7073
20,303,4,2050,66.7503,1212.9634,86.834,18.5377,2514.4491,1889.6232,154.9256,500.2854,21.4156,-0.3205,635.239,4665.0641,341.7507,75726.5927,1283.792,38.0989,6.5305,295.0129,17.9861,1.7105,0.317,14.9082,19.3623,2.9786,6.3006,1.687
20,304,5,2050,66.0843,1208.4644,89.3158,19.2774,2466.5573,1851.1618,151.9797,500.2854,20.8743,-0.3187,619.4956,4624.7911,337.9952,75888.2167,1283.792,38.073,6.5213,291.3743,17.9932,1.7594,0.3296,14.6292,18.9985,2.934,6.3006,1.6818
20,305,4,2050,66.184,1249.4689,84.7797,18.7041,2431.6354,1820.0027,149.6439,500.2854,19.9651,-0.3172,604.2229,5335.4122,394.3271,75959.6082,1283.792,38.8499,6.7845,306.5883,18.7428,1.67,0.3198,14.4258,18.7037,2.9105,6.3006,1.6968
20,308,4,2050,67.8797,1210.8015,82.367,17.1117,2607.2305,1965.5807,160.7014,500.2854,22.7796,-0.3211,667.1276,4695.5064,353.2604,75544.4998,1283.792,38.0096,6.5341,300.2011,17.7901,1.6225,0.2926,15.4487,20.0809,3.0614,6.3006,1.6967
